a,b,c,Expected Output,Actual Output,Status
1,50,0,Not a Triangle.,Not a Triangle.,Pass
1,50,1,Not a Triangle.,Not a Triangle.,Pass
1,50,50,Isosceles Triangle.,Isosceles Triangle.,Pass
1,50,99,Not a Triangle.,Not a Triangle.,Pass
1,50,100,Not a Triangle.,Not a Triangle.,Pass
1,50,101,Input out of range.,Input out of range.,Pass
1,99,-1,Input out of range.,Input out of range.,Pass
1,99,0,Not a Triangle.,Not a Triangle.,Pass
1,99,1,Not a Triangle.,Not a Triangle.,Pass
1,99,50,Not a Triangle.,Not a Triangle.,Pass
1,99,99,Isosceles Triangle.,Isosceles Triangle.,Pass
1,99,100,Not a Triangle.,Not a Triangle.,Pass
1,99,101,Input out of range.,Input out of range.,Pass
1,100,-1,Input out of range.,Input out of range.,Pass
1,100,0,Not a Triangle.,Not a Triangle.,Pass
1,100,1,Not a Triangle.,Not a Triangle.,Pass
1,100,50,Not a Triangle.,Not a Triangle.,Pass
1,100,99,Not a Triangle.,Not a Triangle.,Pass
1,100,100,Isosceles Triangle.,Isosceles Triangle.,Pass
1,100,101,Input out of range.,Input out of range.,Pass
1,101,-1,Input out of range.,Input out of range.,Pass
1,101,0,Input out of range.,Input out of range.,Pass
1,101,1,Input out of range.,Input out of range.,Pass
1,101,50,Input out of range.,Input out of range.,Pass
1,101,99,Input out of range.,Input out of range.,Pass
1,101,100,Input out of range.,Input out of range.,Pass
1,101,101,Input out of range.,Input out of range.,Pass
50,-1,-1,Input out of range.,Input out of range.,Pass
50,-1,0,Input out of range.,Input out of range.,Pass
50,-1,1,Input out of range.,Input out of range.,Pass
50,-1,50,Input out of range.,Input out of range.,Pass
50,-1,99,Input out of range.,Input out of range.,Pass
50,-1,100,Input out of range.,Input out of range.,Pass
50,-1,101,Input out of range.,Input out of range.,Pass
50,0,-1,Input out of range.,Input out of range.,Pass
50,0,0,Not a Triangle.,Not a Triangle.,Pass
50,0,1,Not a Triangle.,Not a Triangle.,Pass
50,0,50,Not a Triangle.,Not a Triangle.,Pass
50,0,99,Not a Triangle.,Not a Triangle.,Pass
50,0,100,Not a Triangle.,Not a Triangle.,Pass
50,0,101,Input out of range.,Input out of range.,Pass
50,1,-1,Input out of range.,Input out of range.,Pass
50,1,0,Not a Triangle.,Not a Triangle.,Pass
50,1,1,Not a Triangle.,Not a Triangle.,Pass
50,1,50,Isosceles Triangle.,Isosceles Triangle.,Pass
50,1,99,Not a Triangle.,Not a Triangle.,Pass
50,1,100,Not a Triangle.,Not a Triangle.,Pass
50,1,101,Input out of range.,Input out of range.,Pass
50,50,-1,Input out of range.,Input out of range.,Pass
50,50,0,Not a Triangle.,Not a Triangle.,Pass
50,50,1,Isosceles Triangle.,Isosceles Triangle.,Pass
50,50,50,Equilateral Triangle.,Equilateral Triangle.,Pass
50,50,99,Isosceles Triangle.,Isosceles Triangle.,Pass
50,50,100,Not a Triangle.,Not a Triangle.,Pass
50,50,101,Input out of range.,Input out of range.,Pass
50,99,-1,Input out of range.,Input out of range.,Pass
50,99,0,Not a Triangle.,Not a Triangle.,Pass
50,99,1,Not a Triangle.,Not a Triangle.,Pass
50,99,50,Isosceles Triangle.,Isosceles Triangle.,Pass
50,99,99,Isosceles Triangle.,Isosceles Triangle.,Pass
50,99,100,Scalene Triangle.,Scalene Triangle.,Pass
50,99,101,Input out of range.,Input out of range.,Pass
50,100,-1,Input out of range.,Input out of range.,Pass
50,100,0,Not a Triangle.,Not a Triangle.,Pass
50,100,1,Not a Triangle.,Not a Triangle.,Pass
50,100,50,Not a Triangle.,Not a Triangle.,Pass
50,100,99,Scalene Triangle.,Scalene Triangle.,Pass
50,100,100,Isosceles Triangle.,Isosceles Triangle.,Pass
50,100,101,Input out of range.,Input out of range.,Pass
50,101,-1,Input out of range.,Input out of range.,Pass
50,101,0,Input out of range.,Input out of range.,Pass
50,101,1,Input out of range.,Input out of range.,Pass
50,101,50,Input out of range.,Input out of range.,Pass
50,101,99,Input out of range.,Input out of range.,Pass
50,101,100,Input out of range.,Input out of range.,Pass
50,101,101,Input out of range.,Input out of range.,Pass
99,-1,-1,Input out of range.,Input out of range.,Pass
99,-1,0,Input out of range.,Input out of range.,Pass
99,-1,1,Input out of range.,Input out of range.,Pass
99,-1,50,Input out of range.,Input out of range.,Pass
99,-1,99,Input out of range.,Input out of range.,Pass
99,-1,100,Input out of range.,Input out of range.,Pass
99,-1,101,Input out of range.,Input out of range.,Pass
99,0,-1,Input out of range.,Input out of range.,Pass
99,0,0,Not a Triangle.,Not a Triangle.,Pass
99,0,1,Not a Triangle.,Not a Triangle.,Pass
99,0,50,Not a Triangle.,Not a Triangle.,Pass
99,0,99,Not a Triangle.,Not a Triangle.,Pass
99,0,100,Not a Triangle.,Not a Triangle.,Pass
99,0,101,Input out of range.,Input out of range.,Pass
99,1,-1,Input out of range.,Input out of range.,Pass
99,1,0,Not a Triangle.,Not a Triangle.,Pass
99,1,1,Not a Triangle.,Not a Triangle.,Pass
99,1,50,Not a Triangle.,Not a Triangle.,Pass
99,1,99,Isosceles Triangle.,Isosceles Triangle.,Pass
99,1,100,Not a Triangle.,Not a Triangle.,Pass
99,1,101,Input out of range.,Input out of range.,Pass
99,50,-1,Input out of range.,Input out of range.,Pass
99,50,0,Not a Triangle.,Not a Triangle.,Pass
99,50,1,Not a Triangle.,Not a Triangle.,Pass
99,50,50,Isosceles Triangle.,Isosceles Triangle.,Pass
99,50,99,Isosceles Triangle.,Isosceles Triangle.,Pass
99,50,100,Scalene Triangle.,Scalene Triangle.,Pass
99,50,101,Input out of range.,Input out of range.,Pass
99,99,-1,Input out of range.,Input out of range.,Pass
99,99,0,Not a Triangle.,Not a Triangle.,Pass
99,99,1,Isosceles Triangle.,Isosceles Triangle.,Pass
99,99,50,Isosceles Triangle.,Isosceles Triangle.,Pass
99,99,99,Equilateral Triangle.,Equilateral Triangle.,Pass
99,99,100,Isosceles Triangle.,Isosceles Triangle.,Pass
99,99,101,Input out of range.,Input out of range.,Pass
99,100,-1,Input out of range.,Input out of range.,Pass
99,100,0,Not a Triangle.,Not a Triangle.,Pass
99,100,1,Not a Triangle.,Not a Triangle.,Pass
99,100,50,Scalene Triangle.,Scalene Triangle.,Pass
99,100,99,Isosceles Triangle.,Isosceles Triangle.,Pass
99,100,100,Isosceles Triangle.,Isosceles Triangle.,Pass
99,100,101,Input out of range.,Input out of range.,Pass
99,101,-1,Input out of range.,Input out of range.,Pass
99,101,0,Input out of range.,Input out of range.,Pass
99,101,1,Input out of range.,Input out of range.,Pass
99,101,50,Input out of range.,Input out of range.,Pass
99,101,99,Input out of range.,Input out of range.,Pass
99,101,100,Input out of range.,Input out of range.,Pass
99,101,101,Input out of range.,Input out of range.,Pass
100,-1,-1,Input out of range.,Input out of range.,Pass
100,-1,0,Input out of range.,Input out of range.,Pass
100,-1,1,Input out of range.,Input out of range.,Pass
100,-1,50,Input out of range.,Input out of range.,Pass
100,-1,99,Input out of range.,Input out of range.,Pass
100,-1,100,Input out of range.,Input out of range.,Pass
100,-1,101,Input out of range.,Input out of range.,Pass
100,0,-1,Input out of range.,Input out of range.,Pass
100,0,0,Not a Triangle.,Not a Triangle.,Pass
100,0,1,Not a Triangle.,Not a Triangle.,Pass
100,0,50,Not a Triangle.,Not a Triangle.,Pass
100,0,99,Not a Triangle.,Not a Triangle.,Pass
100,0,100,Not a Triangle.,Not a Triangle.,Pass
100,0,101,Input out of range.,Input out of range.,Pass
100,1,-1,Input out of range.,Input out of range.,Pass
100,1,0,Not a Triangle.,Not a Triangle.,Pass
100,1,1,Not a Triangle.,Not a Triangle.,Pass
100,1,50,Not a Triangle.,Not a Triangle.,Pass
100,1,99,Not a Triangle.,Not a Triangle.,Pass
100,1,100,Isosceles Triangle.,Isosceles Triangle.,Pass
100,1,101,Input out of range.,Input out of range.,Pass
100,50,-1,Input out of range.,Input out of range.,Pass
100,50,0,Not a Triangle.,Not a Triangle.,Pass
100,50,1,Not a Triangle.,Not a Triangle.,Pass
100,50,50,Not a Triangle.,Not a Triangle.,Pass
100,50,99,Scalene Triangle.,Scalene Triangle.,Pass
100,50,100,Isosceles Triangle.,Isosceles Triangle.,Pass
100,50,101,Input out of range.,Input out of range.,Pass
100,99,-1,Input out of range.,Input out of range.,Pass
100,99,0,Not a Triangle.,Not a Triangle.,Pass
100,99,1,Not a Triangle.,Not a Triangle.,Pass
100,99,50,Scalene Triangle.,Scalene Triangle.,Pass
100,99,99,Isosceles Triangle.,Isosceles Triangle.,Pass
100,99,100,Isosceles Triangle.,Isosceles Triangle.,Pass
100,99,101,Input out of range.,Input out of range.,Pass
100,100,-1,Input out of range.,Input out of range.,Pass
100,100,0,Not a Triangle.,Not a Triangle.,Pass
100,100,1,Isosceles Triangle.,Isosceles Triangle.,Pass
100,100,50,Isosceles Triangle.,Isosceles Triangle.,Pass
100,100,99,Isosceles Triangle.,Isosceles Triangle.,Pass
100,100,100,Equilateral Triangle.,Equilateral Triangle.,Pass
100,100,101,Input out of range.,Input out of range.,Pass
100,101,-1,Input out of range.,Input out of range.,Pass
100,101,0,Input out of range.,Input out of range.,Pass
100,101,1,Input out of range.,Input out of range.,Pass
100,101,50,Input out of range.,Input out of range.,Pass
100,101,99,Input out of range.,Input out of range.,Pass
100,101,100,Input out of range.,Input out of range.,Pass
100,101,101,Input out of range.,Input out of range.,Pass
101,-1,-1,Input out of range.,Input out of range.,Pass
101,-1,0,Input out of range.,Input out of range.,Pass
101,-1,1,Input out of range.,Input out of range.,Pass
101,-1,50,Input out of range.,Input out of range.,Pass
101,-1,99,Input out of range.,Input out of range.,Pass
101,-1,100,Input out of range.,Input out of range.,Pass
101,-1,101,Input out of range.,Input out of range.,Pass
101,0,-1,Input out of range.,Input out of range.,Pass
101,0,0,Input out of range.,Input out of range.,Pass
101,0,1,Input out of range.,Input out of range.,Pass
101,0,50,Input out of range.,Input out of range.,Pass
101,0,99,Input out of range.,Input out of range.,Pass
101,0,100,Input out of range.,Input out of range.,Pass
101,0,101,Input out of range.,Input out of range.,Pass
101,1,-1,Input out of range.,Input out of range.,Pass
101,1,0,Input out of range.,Input out of range.,Pass
101,1,1,Input out of range.,Input out of range.,Pass
101,1,50,Input out of range.,Input out of range.,Pass
101,1,99,Input out of range.,Input out of range.,Pass
101,1,100,Input out of range.,Input out of range.,Pass
101,1,101,Input out of range.,Input out of range.,Pass
101,50,-1,Input out of range.,Input out of range.,Pass
101,50,0,Input out of range.,Input out of range.,Pass
101,50,1,Input out of range.,Input out of range.,Pass
101,50,50,Input out of range.,Input out of range.,Pass
101,50,99,Input out of range.,Input out of range.,Pass
101,50,100,Input out of range.,Input out of range.,Pass
101,50,101,Input out of range.,Input out of range.,Pass
101,99,-1,Input out of range.,Input out of range.,Pass
101,99,0,Input out of range.,Input out of range.,Pass
101,99,1,Input out of range.,Input out of range.,Pass
101,99,50,Input out of range.,Input out of range.,Pass
101,99,99,Input out of range.,Input out of range.,Pass
101,99,100,Input out of range.,Input out of range.,Pass
101,99,101,Input out of range.,Input out of range.,Pass
101,100,-1,Input out of range.,Input out of range.,Pass
101,100,0,Input out of range.,Input out of range.,Pass
101,100,1,Input out of range.,Input out of range.,Pass
101,100,50,Input out of range.,Input out of range.,Pass
101,100,99,Input out of range.,Input out of range.,Pass
101,100,100,Input out of range.,Input out of range.,Pass
101,100,101,Input out of range.,Input out of range.,Pass
101,101,-1,Input out of range.,Input out of range.,Pass
101,101,0,Input out of range.,Input out of range.,Pass
101,101,1,Input out of range.,Input out of range.,Pass
101,101,50,Input out of range.,Input out of range.,Pass
101,101,99,Input out of range.,Input out of range.,Pass
101,101,100,Input out of range.,Input out of range.,Pass
101,101,101,Input out of range.,Input out of range.,Pass
